level4,level3,level2
19889,1988,198
1990,1990,199
1991,1991,199
1992,1992,199
20000,2000,200
20005,2000,200
20008,2000,200
20010,2001,200
20011,2001,200
20012,2001,200
20013,2001,200
20014,2001,200
20018,2001,200
20020,2002,200
20021,2002,200
20022,2002,200
20023,2002,200
20024,2002,200
20025,2002,200
20027,2002,200
20028,2002,200
20030,2003,200
20031,2003,200
20032,2003,200
20033,2003,200
20034,2003,200
20035,2003,200
20036,2003,200
20037,2003,200
20038,2003,200
20040,2004,200
20041,2004,200
20042,2004,200
20043,2004,200
20044,2004,200
20045,2004,200
20047,2004,200
20048,2004,200
20050,2005,200
20051,2005,200
20052,2005,200
20054,2005,200
20058,2005,200
20060,2006,200
20061,2006,200
20064,2006,200
20070,2007,200
20071,2007,200
20072,2007,200
20073,2007,200
20074,2007,200
20075,2007,200
20076,2007,200
20077,2007,200
20078,2007,200
20080,2008,200
20082,2008,200
20084,2008,200
20085,2008,200
20088,2008,200
20108,2010,201
20120,2012,201
20121,2012,201
20140,2014,201
20141,2014,201
20143,2014,201
20148,2014,201
20150,2015,201
20151,2015,201
20152,2015,201
20153,2015,201
20154,2015,201
20158,2015,201
20160,2016,201
20161,2016,201
20168,2016,201
20170,2017,201
20174,2017,201
20190,2019,201
20191,2019,201
20192,2019,201
20193,2019,201
20194,2019,201
20195,2019,201
20196,2019,201
20197,2019,201
20198,2019,201
20200,2020,202
20201,2020,202
20202,2020,202
20203,2020,202
20204,2020,202
20205,2020,202
20206,2020,202
20208,2020,202
20210,2021,202
20211,2021,202
20212,2021,202
20213,2021,202
20214,2021,202
20215,2021,202
20217,2021,202
20218,2021,202
20220,2022,202
20221,2022,202
20230,2023,202
20240,2024,202
20241,2024,202
20252,2025,202
20260,2026,202
20270,2027,202
20271,2027,202
20273,2027,202
20275,2027,202
20278,2027,202
20280,2028,202
20281,2028,202
20282,2028,202
20283,2028,202
20284,2028,202
20285,2028,202
20286,2028,202
20287,2028,202
20288,2028,202
20290,2029,202
20291,2029,202
20292,2029,202
20293,2029,202
20295,2029,202
20296,2029,202
20298,2029,202
20300,2030,203
20301,2030,203
20302,2030,203
20310,2031,203
20311,2031,203
20312,2031,203
20380,2038,203
20382,2038,203
20400,2040,204
20401,2040,204
20402,2040,204
20410,2041,204
20411,2041,204
20412,2041,204
20480,2048,204
20481,2048,204
20482,2048,204
20490,2049,204
20492,2049,204
20500,2050,205
20501,2050,205
20502,2050,205
20510,2051,205
20511,2051,205
20512,2051,205
20530,2053,205
20531,2053,205
20580,2058,205
20581,2058,205
20590,2059,205
20591,2059,205
20600,2060,206
20601,2060,206
20610,2061,206
20700,2070,207
20701,2070,207
20702,2070,207
20720,2072,207
20721,2072,207
20722,2072,207
20780,2078,207
20781,2078,207
20782,2078,207
20800,2080,208
20810,2081,208
20811,2081,208
20880,2088,208
20881,2088,208
20890,2089,208
20891,2089,208
20900,2090,209
20901,2090,209
20903,2090,209
20910,2091,209
20911,2091,209
20913,2091,209
20916,2091,209
20917,2091,209
20920,2092,209
20921,2092,209
20923,2092,209
20924,2092,209
20925,2092,209
20926,2092,209
20927,2092,209
20929,2092,209
20930,2093,209
20931,2093,209
20932,2093,209
20933,2093,209
20936,2093,209
20940,2094,209
20941,2094,209
20942,2094,209
20943,2094,209
20950,2095,209
20951,2095,209
20957,2095,209
20960,2096,209
20961,2096,209
20962,2096,209
20963,2096,209
20965,2096,209
20966,2096,209
